OrderID,OrderDate,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice,Revenue,Cost,ShippingCost,PaymentMethod,Status,Channel
O000001,2024-01-01,C01339,P003,Bluetooth Speaker Mini,Electronics,1,49.99,49.99,25,5.37,Credit Card,Completed,Website
O000002,2024-01-01,C01477,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,6.42,PayPal,Completed,Website
O000003,2024-01-01,C01477,P022,Moisturizer Daily,Beauty,1,34.99,34.99,10,11.54,Credit Card,Completed,Mobile App
O000004,2024-01-01,C02008,P022,Moisturizer Daily,Beauty,2,34.99,69.98,20,9.71,Credit Card,Completed,Mobile App
O000005,2024-01-01,C01339,P020,Jump Rope Pro,Sports,1,19.99,19.99,6,14.18,PayPal,Completed,Mobile App
O000006,2024-01-01,C00716,P008,Denim Jeans Classic,Clothing,1,59.99,59.99,22,5.46,Credit Card,Completed,Website
O000007,2024-01-01,C00768,P008,Denim Jeans Classic,Clothing,1,59.99,59.99,22,12.01,Credit Card,Completed,Website
O000008,2024-01-01,C00563,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,6.31,Credit Card,Completed,Website
O000009,2024-01-01,C00406,P011,Throw Pillow Set 2pc,Home & Garden,1,39.99,39.99,14,6.72,PayPal,Completed,Website
O000010,2024-01-01,C00241,P009,Running Shorts Sport,Clothing,2,34.99,69.98,24,5.5,Credit Card,Completed,Website
O000011,2024-01-01,C00210,P009,Running Shorts Sport,Clothing,1,34.99,34.99,12,8.07,Debit Card,Completed,Website
O000012,2024-01-01,C02769,P019,Foam Roller,Sports,1,32.99,32.99,11,12.94,PayPal,Completed,Instagram
O000013,2024-01-01,C01566,P006,Winter Jacket Premium,Clothing,1,79.99,79.99,68,9.56,Credit Card,Cancelled,Website
O000014,2024-01-01,C00716,P023,Makeup Brush Set 12pc,Beauty,1,49.99,49.99,15,6.71,Debit Card,Completed,Website
O000015,2024-01-01,C00406,P021,Face Serum Vitamin C,Beauty,1,39.99,39.99,12,10.91,Credit Card,Completed,Mobile App
O000016,2024-01-01,C00563,P003,Bluetooth Speaker Mini,Electronics,1,49.99,49.99,25,13.18,Credit Card,Returned,Mobile App
O000017,2024-01-01,C01477,P010,Hoodie Comfort,Clothing,1,49.99,49.99,18,6.06,PayPal,Completed,Website
O000018,2024-01-01,C01477,P004,Laptop Stand Aluminum,Electronics,3,39.99,119.97,54,9.97,PayPal,Completed,Mobile App
O000019,2024-01-01,C00241,P024,Hair Oil Argan,Beauty,1,27.99,27.99,8,12.99,Credit Card,Completed,Instagram
O000020,2024-01-01,C02769,P007,Cotton T-Shirt Basic,Clothing,1,24.99,24.99,8,7.21,Credit Card,Completed,Website
