CampaignID,CampaignName,Channel,StartDate,EndDate,Spend,Impressions,Clicks,Conversions,Revenue
CAMP001,New Year Sale,Facebook,2024-01-01,2024-01-15,2500,2493049,25168,850,5250.0
CAMP002,Valentine's Day,Instagram,2024-02-01,2024-02-14,1800,2040918,25184,824,5040.0
CAMP003,Winter Clearance,Google,2024-02-15,2024-02-29,3000,3416873,43075,975,11700.0
CAMP004,Spring Sale,Facebook,2024-03-01,2024-03-31,5000,4009555,82949,1807,11500.0
CAMP005,Easter Promo,Email,2024-03-20,2024-04-05,500,556868,7953,128,3100.0
CAMP006,Summer Preview,Instagram,2024-04-15,2024-05-15,3500,3133818,70964,1282,10850.0
CAMP007,Memorial Day,Google,2024-05-20,2024-05-31,2800,3053775,40645,1397,11480.0
CAMP008,Summer Launch,TikTok,2024-06-01,2024-06-30,4000,3911252,97239,2640,11600.0
CAMP009,4th of July,Facebook,2024-06-25,2024-07-08,3200,3307919,55933,1064,6400.0
CAMP010,Mid-Summer Sale,Google,2024-07-15,2024-08-15,3800,4154124,68776,2576,14060.0
CAMP011,Back to School,Instagram,2024-08-01,2024-09-15,6000,6597979,87050,2292,20400.0
CAMP012,Fall Collection,Email,2024-09-15,2024-10-15,800,705962,8856,353,4640.0
CAMP013,Halloween Special,TikTok,2024-10-15,2024-10-31,2200,2385839,42437,1422,5720.0
CAMP014,Black Friday Prep,Google,2024-11-01,2024-11-28,5500,4728244,107257,1916,24750.0
CAMP015,Black Friday,Facebook,2024-11-25,2024-11-30,8000,9128628,215754,5827,25600.0
CAMP016,Cyber Monday,Google,2024-11-28,2024-12-02,7000,6145737,92111,2834,33600.0
CAMP017,Holiday Rush,Instagram,2024-12-01,2024-12-20,9000,10357346,257487,6729,32400.0
CAMP018,Last Minute Gifts,Email,2024-12-15,2024-12-24,1200,1411031,23491,843,7800.0
