Date,Sessions,PageViews,UniqueVisitors,BounceRate,AvgSessionDuration,Device,Source
2024-01-01,149,662,111,0.533,289,Desktop,Organic
2024-01-01,106,473,79,0.533,289,Desktop,Paid
2024-01-01,85,378,63,0.533,289,Desktop,Direct
2024-01-01,64,283,47,0.533,289,Desktop,Social
2024-01-01,21,94,15,0.533,289,Desktop,Email
2024-01-01,233,975,178,0.745,157,Mobile,Organic
2024-01-01,166,696,127,0.745,157,Mobile,Paid
2024-01-01,133,557,101,0.745,157,Mobile,Direct
2024-01-01,100,418,76,0.745,157,Mobile,Social
2024-01-01,33,139,25,0.745,157,Mobile,Email
2024-01-01,36,137,29,0.609,203,Tablet,Organic
2024-01-01,26,98,21,0.609,203,Tablet,Paid
2024-01-01,20,78,17,0.609,203,Tablet,Direct
2024-01-01,15,59,12,0.609,203,Tablet,Social
2024-01-01,5,19,4,0.609,203,Tablet,Email
2024-01-02,95,373,66,0.527,237,Desktop,Organic
2024-01-02,68,267,47,0.527,237,Desktop,Paid
2024-01-02,54,213,38,0.527,237,Desktop,Direct
2024-01-02,40,160,28,0.527,237,Desktop,Social
2024-01-02,13,53,9,0.527,237,Desktop,Email
2024-01-02,168,656,126,0.743,104,Mobile,Organic
2024-01-02,120,469,90,0.743,104,Mobile,Paid
2024-01-02,96,375,72,0.743,104,Mobile,Direct
2024-01-02,72,281,54,0.743,104,Mobile,Social
2024-01-02,24,93,18,0.743,104,Mobile,Email
2024-01-02,27,111,19,0.474,228,Tablet,Organic
2024-01-02,19,79,13,0.474,228,Tablet,Paid
2024-01-02,15,63,11,0.474,228,Tablet,Direct
2024-01-02,11,47,8,0.474,228,Tablet,Social
2024-01-02,3,15,2,0.474,228,Tablet,Email
2024-01-03,109,352,87,0.6,232,Desktop,Organic
2024-01-03,78,251,62,0.6,232,Desktop,Paid
2024-01-03,62,201,49,0.6,232,Desktop,Direct
2024-01-03,47,150,37,0.6,232,Desktop,Social
2024-01-03,15,50,12,0.6,232,Desktop,Email
2024-01-03,190,809,154,0.691,151,Mobile,Organic
2024-01-03,135,578,110,0.691,151,Mobile,Paid
2024-01-03,108,462,88,0.691,151,Mobile,Direct
2024-01-03,81,347,66,0.691,151,Mobile,Social
2024-01-03,27,115,22,0.691,151,Mobile,Email
2024-01-03,28,96,24,0.515,169,Tablet,Organic
2024-01-03,20,68,17,0.515,169,Tablet,Paid
2024-01-03,16,55,13,0.515,169,Tablet,Direct
2024-01-03,12,41,10,0.515,169,Tablet,Social
2024-01-03,4,13,3,0.515,169,Tablet,Email
2024-01-04,130,444,105,0.521,182,Desktop,Organic
2024-01-04,93,317,75,0.521,182,Desktop,Paid
2024-01-04,74,254,60,0.521,182,Desktop,Direct
2024-01-04,55,190,45,0.521,182,Desktop,Social
2024-01-04,18,63,15,0.521,182,Desktop,Email
2024-01-04,178,628,147,0.647,154,Mobile,Organic
2024-01-04,127,449,105,0.647,154,Mobile,Paid
2024-01-04,102,359,84,0.647,154,Mobile,Direct
2024-01-04,76,269,63,0.647,154,Mobile,Social
2024-01-04,25,89,21,0.647,154,Mobile,Email
2024-01-04,33,92,28,0.62,172,Tablet,Organic
2024-01-04,23,65,20,0.62,172,Tablet,Paid
2024-01-04,19,52,16,0.62,172,Tablet,Direct
2024-01-04,14,39,12,0.62,172,Tablet,Social
2024-01-04,4,13,4,0.62,172,Tablet,Email
2024-01-05,120,319,99,0.598,248,Desktop,Organic
2024-01-05,86,228,71,0.598,248,Desktop,Paid
2024-01-05,69,182,57,0.598,248,Desktop,Direct
2024-01-05,51,136,42,0.598,248,Desktop,Social
2024-01-05,17,45,14,0.598,248,Desktop,Email
2024-01-05,192,599,150,0.727,101,Mobile,Organic
2024-01-05,137,428,107,0.727,101,Mobile,Paid
2024-01-05,110,342,86,0.727,101,Mobile,Direct
2024-01-05,82,257,64,0.727,101,Mobile,Social
2024-01-05,27,85,21,0.727,101,Mobile,Email
2024-01-05,35,148,27,0.543,226,Tablet,Organic
2024-01-05,25,105,19,0.543,226,Tablet,Paid
2024-01-05,20,84,15,0.543,226,Tablet,Direct
2024-01-05,15,63,11,0.543,226,Tablet,Social
2024-01-05,5,21,3,0.543,226,Tablet,Email
2024-01-06,147,496,103,0.539,192,Desktop,Organic
2024-01-06,105,354,74,0.539,192,Desktop,Paid
2024-01-06,84,283,59,0.539,192,Desktop,Direct
2024-01-06,63,212,44,0.539,192,Desktop,Social
2024-01-06,21,70,14,0.539,192,Desktop,Email
2024-01-06,232,908,164,0.713,125,Mobile,Organic
2024-01-06,166,649,117,0.713,125,Mobile,Paid
2024-01-06,133,519,93,0.713,125,Mobile,Direct
2024-01-06,99,389,70,0.713,125,Mobile,Social
2024-01-06,33,129,23,0.713,125,Mobile,Email
2024-01-06,37,111,31,0.624,176,Tablet,Organic
2024-01-06,26,79,22,0.624,176,Tablet,Paid
2024-01-06,21,63,17,0.624,176,Tablet,Direct
2024-01-06,15,47,13,0.624,176,Tablet,Social
2024-01-06,5,15,4,0.624,176,Tablet,Email
2024-01-07,123,474,106,0.542,226,Desktop,Organic
