CustomerID,FirstPurchaseDate,Country,City,AgeGroup,Gender
C00001,2024-07-08,USA,Houston,35-44,Male
C00002,2024-03-11,USA,Chicago,25-34,Male
C00003,2024-03-03,USA,Chicago,25-34,Female
C00004,2024-02-27,Germany,Berlin,35-44,Male
C00005,2024-02-05,USA,Chicago,18-24,Male
C00006,2024-07-07,UK,Manchester,25-34,Female
C00007,2024-01-27,USA,Chicago,25-34,Male
C00008,2024-06-22,Germany,Munich,25-34,Male
C00009,2024-07-08,Australia,Melbourne,45-54,Male
C00010,2024-08-16,UK,Birmingham,25-34,Female
C00011,2024-05-19,USA,New York,35-44,Female
C00012,2024-01-23,Australia,Sydney,35-44,Female
C00013,2024-05-31,Canada,Toronto,18-24,Female
C00014,2024-04-18,Germany,Munich,35-44,Male
C00015,2024-01-09,UK,Birmingham,25-34,Male
C00016,2024-01-08,Canada,Vancouver,18-24,Female
C00017,2024-01-24,UK,Manchester,55+,Male
C00018,2024-02-25,Australia,Melbourne,55+,Male
C00019,2024-02-29,USA,Houston,45-54,Male
C00020,2024-05-09,Canada,Montreal,25-34,Male
C00021,2024-06-03,Canada,Montreal,18-24,Other
C00022,2024-01-07,USA,New York,35-44,Male
C00023,2024-05-23,Germany,Berlin,25-34,Female
C00024,2024-02-20,USA,Houston,18-24,Male
C00025,2024-07-02,Germany,Berlin,25-34,Female
C00026,2024-06-15,USA,Houston,18-24,Male
C00027,2024-06-28,Australia,Melbourne,55+,Male
C00028,2024-05-19,Australia,Melbourne,25-34,Female
C00029,2024-04-17,Germany,Berlin,35-44,Female
C00030,2024-02-26,Australia,Sydney,25-34,Male
C00031,2024-04-24,Canada,Toronto,35-44,Male
C00032,2024-05-30,USA,Chicago,35-44,Male
C00033,2024-03-12,Australia,Melbourne,25-34,Male
C00034,2024-07-26,UK,London,55+,Male
C00035,2024-08-10,Canada,Montreal,45-54,Female
C00036,2024-01-02,USA,Phoenix,55+,Male
C00037,2024-07-13,USA,New York,45-54,Male
C00038,2024-07-25,USA,Los Angeles,35-44,Female
C00039,2024-02-10,Australia,Sydney,55+,Female
C00040,2024-06-27,USA,Los Angeles,18-24,Female
C00041,2024-04-18,USA,New York,25-34,Male
C00042,2024-03-28,Australia,Sydney,18-24,Male
C00043,2024-03-12,UK,London,25-34,Female
C00044,2024-02-09,USA,Houston,25-34,Male
C00045,2024-02-25,UK,London,25-34,Male
